	Normal_1	Normal_2	Normal_3	Normal_4	Normal_5	COVID_1	COVID_2	COVID_3	COVID_4	COVID_5
ENSG00000160072	374	285	262	391	365	215	366	235	149	183
ENSG00000279928	5	4	0	10	0	6	10	2	3	0
ENSG00000228037	14	9	14	23	17	4	8	10	4	6
ENSG00000142611	1	0	1	2	0	5	1	1	1	4
ENSG00000157911	402	349	335	413	446	239	329	221	244	239
ENSG00000269896	10	1	1	1	3	3	2	1	0	7
ENSG00000228463	3	5	4	4	2	1	2	3	0	8
ENSG00000226374	0	0	0	0	0	0	0	2	0	0
ENSG00000229280	0	0	0	0	0	1	0	0	0	0
ENSG00000142655	125	164	96	121	158	132	154	83	108	137
ENSG00000232596	0	0	0	0	0	0	0	0	1	0
ENSG00000235054	0	0	0	0	0	0	0	1	1	1
ENSG00000149527	156	159	178	288	132	113	231	168	30	28
ENSG00000171621	42	32	38	51	70	44	125	67	39	91
ENSG00000272235	0	1	0	1	0	2	1	0	0	0
ENSG00000284694	0	1	0	0	0	1	0	0	0	0
ENSG00000224387	2	1	0	0	0	1	1	0	0	1
ENSG00000142583	38	13	29	31	25	49	223	68	78	42
ENSG00000284674	0	0	0	0	0	1	0	0	1	0
ENSG00000224338	0	0	0	0	0	0	0	1	0	0
ENSG00000116786	974	835	751	881	920	884	1008	721	643	335
ENSG00000287727	5	2	0	3	2	3	2	2	10	1
ENSG00000286448	0	2	0	0	1	1	0	1	0	1
ENSG00000284703	1	0	0	2	2	1	1	1	0	0
ENSG00000226457	11	10	15	16	17	5	8	1	7	3
ENSG00000173614	70	92	108	84	135	35	91	45	96	72
ENSG00000215720	0	0	0	0	0	2	0	0	0	0
ENSG00000233623	0	0	0	0	0	1	0	0	0	0
ENSG00000162592	42	39	21	28	51	20	33	32	13	26
ENSG00000204624	2	16	5	11	4	9	2	5	2	3
ENSG00000142606	96	69	72	96	92	100	75	70	35	43
ENSG00000225931	2	0	0	4	4	1	0	1	2	2
ENSG00000171729	13	15	19	6	14	16	15	10	22	38
ENSG00000279457	26	79	53	32	30	10	62	6	13	15
ENSG00000229393	1	1	0	1	0	0	0	0	1	0
ENSG00000037637	924	824	789	878	950	530	532	468	520	777
ENSG00000287586	1	0	0	0	0	0	0	0	0	0
ENSG00000159423	130	81	87	74	114	81	70	82	169	116
ENSG00000227169	0	0	0	0	0	0	0	2	0	0
ENSG00000011021	254	281	232	246	323	254	249	200	188	256
ENSG00000142615	3	0	1	0	0	0	0	3	0	0
ENSG00000215704	2	1	0	3	3	1	1	0	2	1
ENSG00000157916	1261	1328	1218	1257	1603	988	1516	1029	1062	1110
ENSG00000157881	625	606	445	534	678	312	406	369	333	440
ENSG00000238290	0	0	0	0	1	0	1	1	0	0
ENSG00000225387	0	0	0	0	0	1	0	0	0	0
ENSG00000048707	817	872	770	888	920	507	688	640	415	645
ENSG00000225196	0	1	0	1	0	0	0	0	0	0
ENSG00000162444	185	254	181	85	157	168	120	117	156	204
ENSG00000279625	0	0	0	0	0	0	1	0	0	0
ENSG00000180758	35	66	24	54	27	18	18	30	26	20
ENSG00000184677	881	593	695	786	744	299	469	421	158	267
ENSG00000288398	43	17	26	35	42	12	29	15	24	7
ENSG00000224621	1	0	0	0	0	0	0	0	0	0
ENSG00000285833	1	1	0	2	0	0	0	1	0	0
