"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000167780",6.09095119862285,-2.32838304650836,0.686782802482855,-3.39027570010605,0.000698223655926041,0.00961642199436878,"ENSG00000167780"
"ENSG00000162594",14.2046174788354,-2.33070147028881,0.526669895010086,-4.42535541212998,9.62836288058092e-06,0.000328223128453971,"ENSG00000162594"
"ENSG00000289540",7.48147236012181,-2.36189654466381,0.672729345805447,-3.51091647687221,0.000446564683066865,0.0068533023253057,"ENSG00000289540"
"ENSG00000256658",6.44621311815833,-2.36634510684533,0.681338638103448,-3.47308221566916,0.000514517717078391,0.007707968087433,"ENSG00000256658"
"ENSG00000154736",13.7796970596072,-2.45154856808998,0.660735780306564,-3.71033118102447,0.000206988289095951,0.00386988265051074,"ENSG00000154736"
"ENSG00000242779",17.204174697074,-2.46245976897665,0.606782370602373,-4.0582256312623,4.94469822153619e-05,0.00126296206524923,"ENSG00000242779"
"ENSG00000157445",55.2097726735699,-2.55038289503328,0.303292264098463,-8.40899421755546,4.13541499580351e-17,4.10936188132995e-14,"ENSG00000157445"
"ENSG00000173114",113.545103793081,-2.57432387743028,0.756941832309289,-3.40095337256827,0.000671512807649327,0.00933915013241618,"ENSG00000173114"
"ENSG00000186081",6.46292037512899,-2.60280335689769,0.76156962186264,-3.41768274649897,0.000631566786086897,0.00890827417082399,"ENSG00000186081"
"ENSG00000162576",6.50323646607672,-2.66780251137942,0.704116797637612,-3.78886360946108,0.000151337967277495,0.00301976984103709,"ENSG00000162576"
"ENSG00000227827",15.3986200313686,-2.75435444145908,0.702738645703493,-3.91945776470251,8.87484113052255e-05,0.0019952329482806,"ENSG00000227827"
"ENSG00000213557",9.95865360978754,-2.96374604865922,0.664622182356729,-4.45929450947584,8.22298673907017e-06,0.000289245377791647,"ENSG00000213557"
"ENSG00000262074",24.5315500324452,-2.99675480324667,0.598815250008151,-5.00447308782781,5.60150366020874e-07,3.15366242897985e-05,"ENSG00000262074"
"ENSG00000183691",21.9501944951553,-3.25922475391059,0.667803742542173,-4.88051286071486,1.05810313148869e-06,5.39218641717592e-05,"ENSG00000183691"
"ENSG00000183092",15.3593375572214,-3.26362619695357,0.603375968240849,-5.40894296216124,6.33978150731764e-08,4.99987371731868e-06,"ENSG00000183092"
"ENSG00000144290",37.1081640216145,-3.47995349979263,0.479988173662342,-7.25008175355729,4.16520144371034e-13,1.45226690337367e-10,"ENSG00000144290"
"ENSG00000211713",5.32725802683379,-3.8868639528385,0.998903033708529,-3.89113239391027,9.97774685345455e-05,0.00218630364901384,"ENSG00000211713"
"ENSG00000106341",15.039893559549,-4.48761820104514,0.766941508929576,-5.85131740660188,4.87694493781012e-09,5.44519121876619e-07,"ENSG00000106341"
"ENSG00000274512",3.46582206274058,-5.06353372449676,1.17245941898147,-4.31872834361764,1.56930802014996e-05,0.000487319181132192,"ENSG00000274512"
"ENSG00000101197",3.85027221447165,-5.21160224108219,1.39976938723456,-3.72318632526921,0.000196724229790232,0.00372707087021074,"ENSG00000101197"
