"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000165949",3508.39366762182,9.87984695379342,1.27539526440274,7.74649806969459,9.44614487400554e-15,4.57884593234112e-12,"ENSG00000165949"
"ENSG00000225972",167.147832992692,8.28549041761839,1.8554617889534,4.46546000944161,7.98968958302697e-06,0.00028405561855649,"ENSG00000225972"
"ENSG00000087116",221.481114929331,7.68177791695878,1.52352312956013,5.04211440437841,4.6041587082641e-07,2.73143433337435e-05,"ENSG00000087116"
"ENSG00000132972",7.20806830128536,6.48889590312483,1.36570714672683,4.75130844755162,2.02104561206657e-06,9.19136395748534e-05,"ENSG00000132972"
"ENSG00000281990",301.807354461718,6.39296948374513,1.14447790448988,5.58592652480661,2.32457508484654e-08,2.09993660164728e-06,"ENSG00000281990"
"ENSG00000170439",107.869007745869,6.2429809275297,1.33067904205438,4.69157530120217,2.71109452111852e-06,0.000116121320070494,"ENSG00000170439"
"ENSG00000115884",57.0519236582065,5.88161472588437,0.621068431288675,9.47015566977124,2.79426955733956e-21,1.27201672287792e-17,"ENSG00000115884"
"ENSG00000211950",471.76079857398,5.76926714838117,0.715900516262237,8.0587553959353,7.70751499837348e-16,5.89150588760286e-13,"ENSG00000211950"
"ENSG00000078114",39.629009835953,5.6145307171014,1.35608462449014,4.14025099592317,3.46926013347864e-05,0.000947088954570803,"ENSG00000078114"
"ENSG00000251127",5.85084347075154,5.60505484041952,1.13018029283843,4.95943423888812,7.06987748790544e-07,3.89215360649952e-05,"ENSG00000251127"
"ENSG00000137869",12.9251413462262,5.58355022268243,1.50328743915853,3.71422661910076,0.000203826080090069,0.00382877080879965,"ENSG00000137869"
"ENSG00000274576",120.217648087293,5.51013735120139,1.41106971962963,3.90493628666886,9.42502130407951e-05,0.00209288126700867,"ENSG00000274576"
"ENSG00000211663",947.799312533536,5.3564205381913,0.789611823069123,6.78361237977866,1.17207541661351e-11,2.74045021526788e-09,"ENSG00000211663"
"ENSG00000223609",42.0471534032125,5.31905317879526,1.38289746333124,3.8463106049687,0.000119909739403773,0.00250515338223242,"ENSG00000223609"
"ENSG00000258334",3.10809605331304,5.29927777061663,1.21339244931801,4.36732383953361,1.25778168849588e-05,0.000405140247604004,"ENSG00000258334"
"ENSG00000267659",3.12292729856905,5.27394107569898,1.14849956031908,4.59202707420607,4.38961404577743e-06,0.000173093630051152,"ENSG00000267659"
"ENSG00000154277",13.7014689664295,5.26146737683485,0.848126395324233,6.20363592719388,5.51733427031257e-10,7.94576096291246e-08,"ENSG00000154277"
"ENSG00000211946",132.356085266419,5.2531360856939,0.811232868684911,6.47549709642529,9.45003048625404e-11,1.6768741596769e-08,"ENSG00000211946"
"ENSG00000241566",6.85345447614047,5.24059566281854,1.42256293187833,3.68391130218678,0.000229682192474857,0.00418396323853833,"ENSG00000241566"
"ENSG00000129538",243.711621717841,5.18522277157718,0.798345374407294,6.49496187715346,8.30544399247255e-11,1.48704859375135e-08,"ENSG00000129538"
