"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094)","16/26",6.80687756772879e-13,8.12741181586818e-10,0,0,21.79560761347,610.618609215109,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Mitotic Spindle Checkpoint Signaling (GO:0071174)","16/26",6.80687756772879e-13,8.12741181586818e-10,0,0,21.79560761347,610.618609215109,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Spindle Assembly Checkpoint Signaling (GO:0071173)","16/26",6.80687756772879e-13,8.12741181586818e-10,0,0,21.79560761347,610.618609215109,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841)","16/28",3.41413714346451e-12,3.05735981197247e-09,0,0,18.1610541727672,479.508062622819,"PLK1;BUB1B;KLHL22;TTK;HASPIN;NDC80;ZWINT;CDC20;MAD2L2;CENPF;NUF2;TRIP13;BUB1;SPC24;MAD2L1;SPC25"
"Mitotic Sister Chromatid Segregation (GO:0000070)","29/111",2.75246983198742e-10,1.80626077859699e-07,0,0,4.84509581237719,106.656801048061,"CDCA5;MIS12;KIF14;CDCA8;NCAPG;KIF11;SMC4;NCAPH;CCNB1;CEP55;DLGAP5;SPAG5;BOD1;PLK1;KLHL22;KIF23;TUBG1;NDC80;ZWINT;SGO1;TPX2;CENPE;KIF18A;KIF18B;ESPL1;KIFC1;CHMP2A;KIF2C;CHMP7"
"Cellular Respiration (GO:0045333)","25/85",3.02556244321103e-10,1.80626077859699e-07,0,0,5.69823139277819,124.898131700891,"NDUFB9;COX7B;NDUFB7;UQCRB;NDUFA12;NDUFB11;NDUFB3;ETFA;COX7A2;ETFB;COX6A1;COX5B;COX5A;UQCRH;COX8A;NDUFA6;NDUFA4;NDUFA3;NDUFA1;SDHB;NDUFS8;NDUFS6;UQCRQ;NDUFS5;MTFR2"
"Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)","22/70",8.58769144875763e-10,4.39444439563569e-07,0,0,6.25827205882353,130.644689654715,"COX8A;NDUFB9;COX7B;NDUFB7;NDUFA6;UQCRB;NDUFA12;NDUFA4;NDUFA3;NDUFB3;NDUFA1;COX7A2;COX6A1;COX5B;SDHB;COX5A;UQCRH;UQCRHL;NDUFS8;NDUFS6;UQCRQ;NDUFS5"
"Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","20/59",1.11102782011932e-09,4.97462706458426e-07,0,0,6.9953688015362,144.23037604331,"STIL;PLK1;CDCA8;TTK;KIF11;WDR62;TUBG1;AURKB;NDC80;CENPE;CCNB1;ESPL1;KIF4A;NUF2;STMN1;CDK1;RCC1;BIRC5;DLGAP5;SPC25"
"Mitotic Nuclear Division (GO:0140014)","17/45",2.91592898078182e-09,1.06157520985333e-06,0,0,8.2687074829932,162.50554798022,"SPAG5;UBE2C;MIS12;PLK1;KLHL22;TUBG1;SMC4;NDC80;ZWINT;SGO1;KIF18A;KIF18B;ESPL1;KIFC1;UBE2S;CHMP2A;CHMP7"
"Aerobic Electron Transport Chain (GO:0019646)","21/68",2.96363821846268e-09,1.06157520985333e-06,0,0,6.09675301327247,119.721013407154,"COX8A;NDUFB9;COX7B;NDUFB7;NDUFA6;UQCRB;NDUFA4;NDUFA3;NDUFB3;NDUFA1;COX7A2;COX6A1;COX5B;SDHB;COX5A;UQCRH;UQCRHL;NDUFS8;NDUFS6;UQCRQ;NDUFS5"
