"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Spindle (GO:0005819)","39/210",1.27527268676074e-08,3.88958169462025e-06,0,0,3.13269584982561,56.9446437078844,"RGS14;BUB1B;TTK;WDR62;KIF11;HMMR;SKA3;SKA1;CDC14A;AURKB;AURKA;CDC20;TUBB6;FAM83D;DLGAP5;SPAG5;BOD1;CKAP2L;PLK1;KLHL22;KIF23;CDC6;HASPIN;TUBG1;AGBL5;MAD2L2;TPX2;CENPE;CENPF;KATNAL1;ESPL1;KIFC1;KIF4A;TADA3;CDK1;KIF2C;KIF20A;MAPRE1;MAD2L1"
"Mitotic Spindle (GO:0072686)","26/143",4.91245649837966e-06,0.000691046834751098,0,0,3.03195673549656,37.0618400203674,"WDR62;KIF11;SKA3;CDC14A;SKA1;AURKA;TUBB6;FAM83D;DLGAP5;SPAG5;CKAP2L;HAUS4;KLHL22;KIF23;CDC6;TUBG1;AGBL5;TPX2;CENPE;KIF18A;KIF18B;ESPL1;KIFC1;TADA3;CDK1;MAD2L1"
"Cyclin-Dependent Protein Kinase Holoenzyme Complex (GO:0000307)","12/40",1.02570677511283e-05,0.000691046834751098,0,0,5.81543274244004,66.8050369100995,"CCNA2;CCNB2;CDKN1A;CCNB1;CCNE2;CDK5;CCNE1;CCNF;CDK1;CKS2;CCNL2;MCM2"
"Spindle Microtubule (GO:0005876)","16/68",1.1767364193034e-05,0.000691046834751098,0,0,4.1820024777565,47.4664834113745,"BOD1;PLK1;HAUS4;KIF11;TUBG1;SKA3;AURKB;SKA1;AURKA;CENPE;KIF18A;KIF18B;KIF4A;CDK1;CHMP2A;CHMP7"
"Mitochondrial Respiratory Chain Complex I (GO:0005747)","12/41",1.35943639623167e-05,0.000691046834751098,0,0,5.61459854014599,62.9163786156127,"NDUFB9;NDUFB7;NDUFA6;NDUFS8;NDUFA12;NDUFB11;NDUFA4;NDUFS6;NDUFA3;NDUFS5;NDUFB3;NDUFA1"
"Respiratory Chain Complex I (GO:0045271)","12/41",1.35943639623167e-05,0.000691046834751098,0,0,5.61459854014599,62.9163786156127,"NDUFB9;NDUFB7;NDUFA6;NDUFS8;NDUFA12;NDUFB11;NDUFA4;NDUFS6;NDUFA3;NDUFS5;NDUFB3;NDUFA1"
"CMG Complex (GO:0071162)","6/10",1.775227788619e-05,0.000773492107898279,0,0,20.2914244186047,221.96782513206,"GINS1;GINS2;MCM7;MCM4;MCM6;MCM2"
"Nuclear Chromosome (GO:0000228)","19/95",2.26703701275828e-05,0.000864307861114093,0,0,3.40095377842993,36.3713361446067,"TOP2A;GINS1;GINS2;MCM7;NCAPG;TUBG1;SMC4;NCAPH;CDC45;RAD51;CHEK1;DMC1;RCC1;BIRC5;MCM4;MCM6;TOP1;BRD8;MCM2"
"Nucleus (GO:0005634)","370/4487",4.76997455323871e-05,0.00153031650559207,0,0,1.2877699810196,12.8140640060476,"ATF1;JPT1;EHMT2;CCNF;NUDT1;ENO1;MSANTD4;MKI67;SMC4;PSMD8;MT2A;PSMD7;RPL36AL;ZC3H12B;CHEK1;PCLAF;PWWP2A;PSMD1;RCC1;NME2P1;SOX8;UBASH3A;CCNL2;GLUL;RNF111;DAXX;BHLHA15;KNL1;ESCO2;KRT5;HASPIN;ZNF14;DEPDC1B;NEIL3;SUB1;MT1F;ZSCAN26;VDAC1;KIF20A;TRIB1;AURKAIP1;TP53;PRR11;ASF1A;TELO2;ATF4;MT1E;ASF1B;ZNF398;CDCA2;SHMT2;CDCA5;DCUN1D4;CDCA7;NCAPG;XPC;WDR62;TXN;ZBTB4;HIF1A;SAMSN1;UBE2J1;MTDH;PRDX5;LDHA;PRDX4;RNF216;PRDX1;HESX1;ZNF823;PATZ1;SERF2;CDT1;ZNF263;BCL11B;APOBEC3H;GADD45A;PLK1;SNF8;CDC6;NTAN1;PRDX6;TRERF1;H1-3;H1-2;MANF;H1-5;FAM111B;FOSL1;H1-4;FIBP;TPX2;ID2;ID1;INTS5;FBXL3;ANP32B;APOBEC3A;EZH2;TP73;APOBEC3B;SETD4;TOP2A;SETD5;CSRNP2;CDKN1A;AHCTF1;FEN1;PPP1R10;NAT10;BRCA1;KIF11;BRCA2;MED12;ING4;TRIM7;CSRP1;CTSL;PBK;UFD1;RAC1;CLIC1;DLGAP5;H3-3A;WDR37;TIGD7;ANXA2;ANXA4;KIF23;TUBG1;SIRT1;NME1;PSMA5;PSMA6;MED22;KIFC1;DMC1;DEPDC1;PPARG;SINHCAF;JDP2;DNASE1L1;PCNA;RPL10;SF3B6;MIS12;RPS27L;NEDD8;TYMS;CENPA;PSMB6;RECQL4;PSMB7;PSMB2;NFIL3;PSMB3;PSMB1;LMNA;SCAND1;BRD8;ZNF589;APBB1;ZNF346;ZNF224;DCPS;H2BC9;CDKN2D;GINS1;GINS2;CDKN2C;CDKN2A;PSMB8;HINFP;MAD2L2;AGBL5;CENPE;CENPF;KBTBD6;FABP5;PSMC1;TRMT6;ZNF217;CTNNB1;BMAL2;TRIP13;CRLF3;ZNF696;CDKN3;MAD2L1;HSPA1A;MTCH2;DBR1;PRAG1;PDCD6;UBE2D3;GMNN;JADE1;PARK7;SRP14;CLU;ETS2;NR3C2;TUBB6;CHCHD2;RGS3;PTTG1;PAPOLG;CFL1;CWC22;CHP1;NEK2;OIP5;KPNA2;TXNL4A;ZNF443;ZNF563;TLE3;RPS9;ZBTB32;CDC25C;CDC25A;ADAM19;CCNE2;CCNE1;PRPF3;TIMELESS;ERH;SNRNP25;PPIB;S100A9;S100A8;SNRPA;SNRPB;AK5;FBXO43;HSP90B1;RAD51AP1;CCNB2;CCNB1;ORC1;BAG1;KHDC4;SMYD4;CLSPN;ZNF786;MORC2;PLTP;MCL1;CBX7;HSPA8;HSPA5;UBE2C;TCEANC;HMGA1;LSM1;FANCA;KLHL22;GGH;AZIN2;DHCR24;NDC80;LSM2;SEM1;COPS6;KIF18A;MAFB;DIAPH3;KIF18B;ARPC2;CDK5;ARPC3;UBE2S;UBE2T;BCL3;TADA3;MAFF;NFE2L3;CDK1;ANXA2P2;COPS8;UBE2K;YWHAE;DIDO1;C2ORF42;NAA40;MCM7;CELF1;HMGB2;CBY1;MCM10;FASLG;FOXM1;DUSP16;H1-10;RESF1;LMNB1;SART3;DBP;SUMO1;EXO1;SIN3A;SUMO3;ZNF649;H2BC21;TRIM68;CASP2;MYBL2;RBM7;RBM5;KLF10;KLF11;MKKS;TGIF2;BUD31;AKTIP;TGFBR1;REXO5;CCNA2;H2BC12;ASPM;PKM;TFDP1;NPC1;ESPL1;BIRC5;MCM4;ETF1;BIRC7;TOP1;MCM6;GAPDH;MCM2;MTPN;CEBPB;TRIM52;POLDIP2;RGS14;UHRF1;LEF1;TTK;RNF7;RNF4;RNF2;AURKB;ZBTB40;AURKA;CDC45;CCDC85B;E2F1;RBBP8;POLR2F;IGF2BP3;RALY;ZNF501;MAPK6;EEIG1;H2AZ2;FOXJ2;HNRNPAB;REC8;MAPK12;TICRR;SNRK;RAD51;TEF;MFAP1;TRIM35;SPRY2;BCOR;TRIM32"
"Microtubule Cytoskeleton (GO:0015630)","44/342",5.01743116587564e-05,0.00153031650559207,0,0,2.021649060503,20.0143406231671,"ZNF397;RGS14;SHMT2;KIF14;CDCA8;TUBD1;BUB1B;TTK;KIF11;HMMR;SKA1;AURKB;KIF15;AURKA;CDC20;CCNB2;TUBB6;MATCAP1;CHP1;FAM83D;GTSE1;CKAP2L;MID1IP1;PLK1;KLHL22;KIF23;HASPIN;TUBG1;AGBL5;MAD2L2;TPX2;CENPE;CENPF;KIF18A;KATNAL1;CDK5;KIFC1;BIRC5;SPRY2;KIF2C;KIF20A;ARHGEF2;MAPRE1;GAPDH"
