"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453)","18/54",1.02279870575882e-08,7.12890697913897e-06,0,0,6.81158357771261,125.320454967189,"COX8A;NDUFB9;COX7B;NDUFB7;NDUFA6;UQCRB;NDUFA12;NDUFA4;NDUFA3;NDUFB3;NDUFA1;COX5B;COX5A;UQCRH;UQCRHL;NDUFS8;NDUFS6;NDUFS5"
"Single-Stranded DNA Binding (GO:0003697)","20/96",7.3234085084578e-06,0.00212515222326676,0,0,3.5825797975114,42.3619808557917,"IGHM;MCM7;HMGB2;MCM10;XPC;PARK7;BRCA2;JCHAIN;RAD51AP1;RECQL4;NEIL3;CDC45;RAD51;SUB1;DMC1;MCM4;MCM6;TOP1;HROB;MCM2"
"Cyclin-Dependent Protein Serine/Threonine Kinase Regulator Activity (GO:0016538)","13/46",9.14699665681532e-06,0.00212515222326676,0,0,5.347964672289,62.0475405272632,"CDKN2D;CDKN1A;CDKN2C;CDKN2A;CCNF;CCNA2;CCNB2;CCNB1;CCNE2;CCNE1;CKS2;CCNL2;MCM2"
"Immunoglobulin Receptor Binding (GO:0034987)","5/7",2.9198946428668e-05,0.0050879164151954,0,0,33.7981118373275,352.898859032565,"IGHM;TARM1;IGHA1;IGHA2;JCHAIN"
"NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137)","10/33",5.11037012907516e-05,0.0064033580984883,0,0,5.89269869438459,58.2296074501868,"NDUFB9;NDUFB7;NDUFA6;NDUFS8;NDUFA12;NDUFA4;NDUFS6;NDUFA3;NDUFS5;NDUFB3"
"Single-Stranded DNA Helicase Activity (GO:0017116)","8/22",6.77999711742583e-05,0.0064033580984883,0,0,7.73715949261801,74.2685977355935,"PIF1;POLQ;RAD51;MCM7;DSCC1;MCM4;MCM6;MCM2"
"NADH Dehydrogenase (Quinone) Activity (GO:0050136)","10/34",6.79392185223031e-05,0.0064033580984883,0,0,5.64686588921283,54.1923908636621,"NDUFB9;NDUFB7;NDUFA6;NDUFS8;NDUFA12;NDUFA4;NDUFS6;NDUFA3;NDUFS5;NDUFB3"
"Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)","109/1098",7.34962192079001e-05,0.0064033580984883,0,0,1.52626336679118,14.5273968779918,"ATF1;ZNF692;ZNF691;ETS2;ZNF83;ZNF84;ZSCAN32;ZNF845;SOX8;ZNF721;ZNF567;ZNF600;ZNF680;MYCL;ZNF718;ZNF837;ZSCAN22;ZSCAN21;ZSCAN26;TP53;ATF4;ZNF397;ZNF671;ZNF792;ZNF274;ZBTB4;HIF1A;ZKSCAN7;ZNF549;HESX1;ZNF548;ZNF701;ZSCAN12;ZNF304;ZNF302;ZNF786;ZNF543;ZNF420;ZNF263;EGR3;ZNF141;ZNF383;ZNF382;BCL11B;SNAI3;HMGA1;ELL2;ZBTB9;FOSL1;MAFB;ZNF816;ZNF419;MAFF;ZNF813;NFE2L3;ZNF776;MXD1;ZNF135;ZNF773;TP73;ZNF250;HMGB2;ZNF808;DBP;ZNF649;ZNF526;ZNF646;MYBL2;H3-3A;ZIK1;KLF10;KLF11;KLF12;TGIF2;ZNF239;PPARG;TOP1;JDP2;ZNF473;CEBPB;UHRF1;LEF1;ZBTB43;ZNF2;NFIL3;ZNF506;E2F1;E2F2;ZNF227;ZNF623;ZNF468;ZNF501;ZNF500;ZNF224;E2F7;E2F8;ZNF184;ZNF181;FOXJ2;HINFP;TEF;ZNF616;ZNF217;BMAL2;ZNF215;MIXL1;ZNF212;ZNF211;ZNF574"
"Active Monoatomic Ion Transmembrane Transporter Activity (GO:0022853)","8/24",0.000137684851387811,0.0106629268241449,0,0,6.76928675400291,60.1826361165002,"COX8A;COX7B;SLC47A1;UQCRB;COX5B;COX5A;UQCRH;UQCRHL"
"Ubiquitin-Like Protein Ligase Binding (GO:0044389)","37/289",0.000212447202993299,0.0148075700486329,0,0,2.00490352274739,16.9551023087541,"YWHAE;CDKN1A;HM13;UBE2D3;NEDD8;BRCA1;AUP1;HIF1A;CLU;UBE2J1;UCHL1;CCNB1;SUMO1;SUMO3;BAG1;PSMD1;RIPK1;APBB1;PATZ1;RFFL;H2BC9;HSPA8;DAXX;SHPRH;FZD5;HSPA5;UBE2C;YOD1;TRAF2;PRDX6;UBE2T;TRAF5;CTNNB1;TRIB1;TP53;UBE2K;HSPA1A"
"RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)","108/1122",0.000260329637836966,0.0164954325065786,0,0,1.4717286095139,12.147003167059,"ATF1;ZNF692;ZNF691;ETS2;NR3C2;ZNF83;ZNF84;ZSCAN32;ZNF845;SOX8;ZNF721;ZNF567;ZNF600;ZNF680;BHLHA15;MYCL;ZNF718;ZNF837;ZSCAN22;ZSCAN21;ZSCAN26;TP53;ATF4;ZNF397;ZNF671;ZNF792;ZNF274;ZBTB4;HIF1A;ZKSCAN7;ZNF549;HESX1;ZNF548;ZNF701;ZSCAN12;ZNF304;ZNF302;ZNF786;ZNF543;ZNF420;ZNF263;EGR3;ZNF141;ZNF383;ZNF382;BCL11B;SNAI3;HMGA1;ZBTB9;FOSL1;MAFB;ZNF816;ZNF419;MAFF;ZNF813;NFE2L3;ZNF776;MXD1;ZNF135;ZNF773;TP73;ZNF250;ZNF808;DBP;ZNF649;ZNF526;ZNF646;MYBL2;H3-3A;ZIK1;KLF10;KLF11;KLF12;TGIF2;ZNF239;PPARG;TOP1;JDP2;ZNF473;CEBPB;LEF1;ZBTB43;ZNF2;NFIL3;ZNF506;E2F1;E2F2;ZNF227;ZNF623;ZNF468;ZNF501;ZNF500;ZNF224;E2F7;E2F8;ZNF184;ZNF181;FOXJ2;HINFP;TEF;ZNF616;ZNF217;BMAL2;ZNF215;MIXL1;ZNF212;ZNF211;ZNF574"
"Kinase Binding (GO:0019900)","52/460",0.000318578547556285,0.0185041039705609,0,0,1.74502432551968,14.0503102712778,"CDKN1A;TFRC;KIF14;PARK7;KIF11;FOXM1;TRIM68;CHP1;RAC1;CEP68;DAXX;PGAM1;TRAF2;CDC25C;LAX1;CDC25A;CIT;PARP8;DNAJC3;SGO1;CCNA2;TOM1L2;CKS2;VDAC1;KIF20A;MAPRE1;TELO2;ATF4;PRKRIP1;HIF1A;ZBTB4;AURKB;AURKA;CCNB1;WDCP;RFFL;FAM83D;CDKN2D;CDKN2C;FZD5;CDKN2A;GADD45A;CAV1;PLK1;CDC6;GCSAM;TPX2;DNAJA3;CTNNB1;SPRY2;LIMS1;TP73"
"RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)","115/1225",0.000433077618972106,0.0232196231095044,0,0,1.4316431664498,11.0874944863759,"ATF1;ZNF692;ZNF691;ENO1;ETS2;ZNF83;ZNF84;ZSCAN32;ZNF845;SOX8;ZNF721;ZNF567;ZNF600;ZNF443;ZNF563;ZNF680;ZNF14;MYCL;ZNF718;ZNF837;ZSCAN22;ZSCAN21;ZSCAN26;TP53;ATF4;ZNF397;ZNF671;ZNF792;ZNF274;ZBTB4;HIF1A;ZKSCAN7;ZNF549;HESX1;ZNF548;ZNF823;ZNF701;ZSCAN12;ZNF304;ZNF302;ZNF786;ZNF543;ZNF420;ZNF263;EGR3;ZNF141;ZNF383;ZNF382;BCL11B;SNAI3;HMGA1;ZBTB9;FOSL1;MAFB;ZNF816;ZNF419;MAFF;ZNF813;NFE2L3;ZNF776;MXD1;ZNF135;ZNF773;TP73;ZNF250;FOXM1;ZNF808;DBP;ZNF649;ZNF526;ZNF646;MYBL2;H3-3A;ZIK1;KLF10;KLF11;KLF12;TGIF2;TFDP1;ZNF239;PPARG;TOP1;JDP2;ZNF473;CEBPB;LEF1;ZBTB43;ZNF2;NFIL3;ZNF506;E2F1;E2F2;ZNF227;ZNF623;ZNF468;ZNF589;ZNF501;ZNF500;ZNF224;E2F7;E2F8;ZNF184;ZNF181;FOXJ2;HINFP;TEF;ZNF616;ZNF217;BMAL2;ZNF215;MIXL1;ZNF212;ZNF696;ZNF211;ZNF574"
"Protein Kinase Regulator Activity (GO:0019887)","17/103",0.000667308440430003,0.031892217354237,0,0,2.6837379674589,19.6241849310392,"DAXX;CDKN1A;ITPRIP;PRKRIP1;CCNF;ETFA;CCNA2;DNAJC3;CCNB2;SOCS3;CCNB1;CCNE2;CCNE1;CCNL2;TRIB1;GPRC5D;MCM2"
"DNA Binding, Bending (GO:0008301)","6/17",0.000686346141052447,0.031892217354237,0,0,7.37592494714588,53.7271849642724,"TOP2A;LEF1;HMGA1;HMGB2;HMGB3;TOP1"
