"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cell cycle","40/124",4.15712406231024e-17,1.23466584650614e-14,0,0,6.57653821588248,248.06125438468,"YWHAE;CDKN1A;PCNA;MCM7;BUB1B;TTK;PKMYT1;CDC14A;CDC20;CCNB2;CCNB1;ORC6;CDC45;PTTG1;ORC1;YWHAQ;CHEK1;E2F1;E2F2;BUB1;CDKN2D;CDKN2C;GADD45A;CDKN2A;PLK1;CDC6;CDC25C;CDC25A;CCNA2;MAD2L2;TFDP1;CCNE2;ESPL1;CCNE1;CDK1;MCM4;MCM6;TP53;MCM2;MAD2L1"
"Prion disease","57/273",3.49730420188721e-14,5.19349673980251e-12,0,0,3.66496855345912,113.556114469542,"COX7B;NDUFA12;PIK3CD;LAMC1;COX6A1;PSMD8;TUBB6;PSMD7;PSMD1;RAC1;COX8A;CYBA;SDHB;PSMA5;PSMA6;NDUFS8;NDUFS6;NDUFS5;VDAC1;SLC25A4;ATF4;C1QB;C1QA;NDUFB9;NDUFB7;UQCRB;NDUFB11;NDUFB3;ATP5MC3;COX7A2;COX5B;COX5A;UQCRH;PSMB6;PSMB7;KLC4;PSMB2;PSMB3;PSMB1;ATP5PF;HSPA8;ATP5PD;NDUFA6;HSPA5;NDUFA4;CAV1;NDUFA3;NDUFA1;ATP5F1C;ATP5F1E;MAPK12;UQCRHL;SEM1;UQCRQ;PSMC1;C1QC;HSPA1A"
"Parkinson disease","53/249",1.22986660578103e-13,1.21756793972322e-11,0,0,3.74827628568357,111.42388652079,"COX7B;NDUFA12;PARK7;COX6A1;PSMD8;UCHL1;TUBB6;PSMD7;PSMD1;COX8A;DAXX;SDHB;PSMA5;PSMA6;NDUFS8;NDUFS6;NDUFS5;VDAC1;TP53;SLC25A4;ATF4;NDUFB9;NDUFB7;UQCRB;NDUFB11;NDUFB3;ATP5MC3;COX7A2;TXN;COX5B;COX5A;UQCRH;UBE2J1;PSMB6;PSMB7;KLC4;PSMB2;PSMB3;PSMB1;CAMK2G;ATP5PF;ATP5PD;NDUFA6;HSPA5;NDUFA4;NDUFA3;NDUFA1;ATP5F1C;ATP5F1E;UQCRHL;SEM1;UQCRQ;PSMC1"
"Herpes simplex virus 1 infection","74/498",3.10372139165119e-10,2.30451313330101e-08,0,0,2.42765131844671,53.1491750171883,"ZNF250;PIK3CD;FASLG;ZNF808;ZNF83;ZNF649;ZNF84;ZSCAN32;ZNF845;IL12A;ZNF248;ZNF567;ZNF600;ZNF721;ZNF443;HLA-DPA1;ZIK1;ZNF200;ZNF563;DAXX;ZNF680;TRAF2;ZNF14;ZNF718;ZNF439;TRAF5;ZNF559;ZNF558;ZNF235;TP53;ZNF234;ZNF398;SRSF9;ZNF473;ZNF550;ZNF671;ZNF792;ZNF2;ZNF3;SOCS3;ZNF506;ZNF549;ZNF548;ZNF823;ZNF701;ZNF227;ZNF304;ZNF623;ZNF468;ZNF589;ZNF302;ZNF786;ZNF224;ZNF543;ZNF785;ZNF420;ZNF783;ZNF141;ZNF383;ZNF382;TNFSF14;ZNF184;ZNF181;ZNF816;RHEB;ZNF419;ZNF616;ZNF813;ZNF337;ZNF135;ZNF212;ZNF773;NECTIN2;ZNF211"
"Diabetic cardiomyopathy","40/203",1.39952979258664e-09,6.17728902670312e-08,0,0,3.37469028005084,68.8002478265065,"NDUFB9;COX7B;NDUFB7;UQCRB;NDUFA12;NDUFB11;NDUFB3;ATP5MC3;PIK3CD;COX7A2;COX5B;COX6A1;COX5A;UQCRH;RAC1;CTSD;CAMK2G;COX8A;ATP5PF;ATP5PD;NDUFA6;NDUFA4;NDUFA3;GSR;NDUFA1;CYBA;ATP5F1C;SDHB;ATP5F1E;TGFBR1;MAPK12;UQCRHL;TGFBR2;NDUFS8;UQCRQ;NDUFS6;NDUFS5;VDAC1;GAPDH;SLC25A4"
"Protein processing in endoplasmic reticulum","36/171",1.42573684636936e-09,6.17728902670312e-08,0,0,3.66181277860327,74.5859158031049,"ERO1A;RPN2;DERL3;UBE2D3;RPN1;RRBP1;HSP90B1;UBE2J1;LMAN1;SEC61G;LMAN2;BAG1;MAN1C1;UFD1;MAN1A1;SEC61B;SIL1;TXNDC5;HSPA8;SEC13;HSPA5;SSR4;SSR2;SSR3;YOD1;TRAF2;PDIA6;CKAP4;DDOST;PDIA4;DNAJC3;SELENOS;DNAJB11;P4HB;ATF4;HSPA1A"
"Oxidative phosphorylation","31/133",1.45592670663036e-09,6.17728902670312e-08,0,0,4.16536770148474,84.7553325929416,"NDUFB9;COX7B;NDUFB7;UQCRB;NDUFA12;NDUFB11;NDUFB3;ATP5MC3;COX7A2;COX6A1;COX5B;COX5A;UQCRH;ATP6V1C2;COX8A;ATP5PF;ATP6V0B;ATP5PD;NDUFA6;NDUFA4;NDUFA3;NDUFA1;ATP5F1C;SDHB;ATP5F1E;UQCRHL;NDUFS8;PPA1;UQCRQ;NDUFS6;NDUFS5"
"Huntington disease","51/306",3.87489748432407e-09,1.43855569105531e-07,0,0,2.75927873779113,53.4437707542348,"COX7B;NDUFA12;COX6A1;PSMD8;TUBB6;PSMD7;SIN3A;PSMD1;COX8A;TRAF2;SDHB;PSMA5;PSMA6;NDUFS8;NDUFS6;NDUFS5;VDAC1;PPARG;TP53;SLC25A4;NDUFB9;NDUFB7;UQCRB;NDUFB11;DCTN3;NDUFB3;ATP5MC3;SLC1A3;COX7A2;COX5B;COX5A;UQCRH;PSMB6;PSMB7;KLC4;PSMB2;PSMB3;PSMB1;POLR2F;ATP5PF;ATP5PD;NDUFA6;NDUFA4;NDUFA3;NDUFA1;ATP5F1C;ATP5F1E;UQCRHL;SEM1;UQCRQ;PSMC1"
"Proteasome","16/46",3.38035480152353e-08,1.11551708450277e-06,0,0,7.25739385065886,124.846769696226,"POMP;PSMB8;PSMB6;PSMD8;PSMA5;SEM1;PSMB7;PSMA6;PSMD7;PSMB2;PSMB3;PSMC1;PSMB1;PSME1;PSMD1;PSME2"
"Non-alcoholic fatty liver disease","31/155",6.78398086527158e-08,2.01484231698566e-06,0,0,3.42227979274611,56.4885495228781,"NDUFB9;COX7B;NDUFB7;UQCRB;NDUFA12;NDUFB11;NDUFB3;PIK3CD;COX7A2;FASLG;COX6A1;COX5B;COX5A;UQCRH;SOCS3;RAC1;COX8A;NDUFA6;NDUFA4;NDUFA3;NDUFA1;TRAF2;SDHB;MAPK12;UQCRHL;NDUFS8;UQCRQ;NDUFS6;NDUFS5;PPARG;ATF4"
