CHR,Total_SNPs,Min_P,Max_NegLog10P,GW_Sig_SNPs,Suggestive_SNPs
1,34362,4.49e-06,5.35,0,2
2,37088,1.11e-06,5.95,0,65
3,33232,1.15e-10,9.94,27,205
4,30448,9.6e-06,5.02,0,3
5,28512,1.09e-05,4.96,0,0
6,32544,4.08e-06,5.39,0,4
7,24151,4.89e-06,5.31,0,15
8,20859,4.55e-06,5.34,0,7
9,17571,4.95e-08,7.31,1,50
10,21309,1.74e-05,4.76,0,0
11,21151,3.62e-06,5.44,0,1
12,23035,6.89e-07,6.16,0,13
13,16621,1.36e-05,4.87,0,0
14,13019,1.52e-06,5.82,0,2
15,11960,1.33e-05,4.87,0,0
16,12827,3.86e-06,5.41,0,14
17,10748,7.49e-06,5.13,0,1
18,13451,1.13e-07,6.95,0,3
19,9444,4.24e-06,5.37,0,4
20,9192,2.56e-05,4.59,0,0
21,6122,3.57e-05,4.45,0,0
22,6357,3.43e-05,4.46,0,0
