"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"ENSG00000171621",59.4670681268083,0.983078113435132,0.286506215955004,3.43126277438087,0.00060077833414065,0.00859601771973454,"ENSG00000171621"
"ENSG00000142583",60.0949246586819,2.01765579011971,0.407409844157787,4.95239822761446,7.3304396533091e-07,3.99137418273603e-05,"ENSG00000142583"
"ENSG00000184677",500.448478577987,-0.86339777756198,0.231840491418185,-3.72410260295996,0.00019601120242263,0.00371710556960625,"ENSG00000184677"
"ENSG00000157978",1412.28804670489,-0.785692670671453,0.229619182213239,-3.4217205335302,0.000622262377632303,0.0088145705581357,"ENSG00000157978"
"ENSG00000158006",228.48792563089,-0.671748359140495,0.140665392430589,-4.7755055279284,1.79256366660047e-06,8.38244948471008e-05,"ENSG00000158006"
"ENSG00000134690",55.9388988745943,2.06256352738123,0.392640826939283,5.25305415501322,1.49597526153958e-07,1.04456230926171e-05,"ENSG00000134690"
"ENSG00000126067",886.274890115754,0.825153354267702,0.182199253141263,4.52885146366623,5.93051695717092e-06,0.000221547169185742,"ENSG00000126067"
"ENSG00000173660",431.861248407573,0.895260986299912,0.172024230705758,5.20427257617693,1.94757968775872e-07,1.31527147363659e-05,"ENSG00000173660"
"ENSG00000092853",47.1023273676108,3.25952874598996,0.438673280252787,7.43042462971906,1.0824960355422e-13,4.30270524207316e-11,"ENSG00000092853"
"ENSG00000162396",32.7416694174053,-1.96643677808804,0.321929080597864,-6.1082918462542,1.00703085302358e-09,1.31669284032832e-07,"ENSG00000162396"
"ENSG00000123080",71.1652831843243,1.285954123205,0.254730944868358,5.04828388191928,4.45796389927614e-07,2.66860164259681e-05,"ENSG00000123080"
"ENSG00000157193",174.280975481997,1.01738283712055,0.230613304412555,4.41163982152784,1.02590670844886e-05,0.000341916811777331,"ENSG00000157193"
"ENSG00000154027",127.668130958286,-1.12127195890139,0.329133134208573,-3.40674287199184,0.000657430298751557,0.00918184803751823,"ENSG00000154027"
"ENSG00000137941",8.19876880909809,2.10715990588477,0.615311858990057,3.42453972745359,0.000615841797147347,0.0087651212269797,"ENSG00000137941"
"ENSG00000116133",407.867457351475,1.40629161081997,0.352277012679364,3.99200504206599,6.55169794215804e-05,0.00156688862698494,"ENSG00000116133"
"ENSG00000171502",18.6507700828299,1.29188376788013,0.354379437202194,3.64548174149009,0.000266891364875729,0.00471540721376579,"ENSG00000171502"
"ENSG00000170989",961.684880552678,-1.64005464269575,0.228824161607616,-7.16731411217007,7.64834118274679e-13,2.53338554443183e-10,"ENSG00000170989"
"ENSG00000117525",7.14383549732453,3.64603532476841,0.823606598797097,4.4269136868179,9.55909600534015e-06,0.000326421776649708,"ENSG00000117525"
"ENSG00000228086",35.071188591048,-1.31893913769618,0.286936832689463,-4.59661844502062,4.29402916188212e-06,0.000169999074827182,"ENSG00000228086"
"ENSG00000162627",10.7285923335149,3.83844344528288,1.04969919026865,3.65670801775173,0.000255475102186616,0.00456592822019497,"ENSG00000162627"
"ENSG00000173218",118.068047601077,1.23110632317142,0.188587181906386,6.52804878214117,6.66319974814719e-11,1.23761151209979e-08,"ENSG00000173218"
"ENSG00000079335",435.058007831779,-0.902606017612786,0.180299341260295,-5.0061526087869,5.55287381798478e-07,3.13516517780198e-05,"ENSG00000079335"
"ENSG00000286151",7.18365706487903,2.7437248431972,0.781106905483103,3.51261117260287,0.000443726324496588,0.00682649630521959,"ENSG00000286151"
"ENSG00000024526",11.7738632370227,2.73061140713073,0.543864213438381,5.02075948308393,5.14675720465688e-07,2.95127734362488e-05,"ENSG00000024526"
"ENSG00000135862",124.675535978533,1.92686621037554,0.235190750744648,8.19278055907728,2.55259316682876e-16,2.20566246076325e-13,"ENSG00000135862"
"ENSG00000143228",29.1194081158893,2.19659577501465,0.416437385022305,5.27473241840906,1.3294992840159e-07,9.4704189141692e-06,"ENSG00000143228"
