"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","V10","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",225474766,225475419,654,"*",".",1000,".",539.00081,-1,5.02121,328,"Promoter (<=1kb)",1,225475173,225486834,11662,1,"124904526","ENST00000822093.1",0,NA,"LOC124904526","uncharacterized LOC124904526"
"chr15",56245894,56246546,653,"*",".",1000,".",527.25104,-1,5.02121,331,"Promoter (<=1kb)",15,56087280,56245082,157803,2,"64864","ENST00000674082.1",-812,"ENSG00000181827","RFX7","regulatory factor X7"
"chr7",151172423,151173067,645,"*",".",1000,".",525.08422,-1,5.02121,313,"Promoter (1-2kb)",7,151149777,151174745,24969,2,"2636","ENST00000475831.1",1678,"ENSG00000164900","GBX1","gastrulation brain homeobox 1"
"chr1",114346362,114346950,589,"*",".",1000,".",517.28502,-1,5.02121,312,"Distal Intergenic",1,114397608,114399609,2002,2,"51592","ENST00000478032.1",52659,"ENSG00000197323","TRIM33","tripartite motif containing 33"
"chr17",41662477,41663107,631,"*",".",1000,".",510.33835,-1,5.02121,373,"Intron (ENST00000839869.1/284116, intron 1 of 8)",17,41626325,41666511,40187,2,"284116","ENST00000839869.1",3404,"ENSG00000290861","KRT42P","keratin 42, pseudogene"
"chr10",6088504,6089133,630,"*",".",1000,".",508.31598,-1,5.02121,372,"Promoter (<=1kb)",10,6089034,6117447,28414,1,"84991","ENST00000379888.9",0,"ENSG00000134453","RBM17","RNA binding motif protein 17"
"chr15",40274579,40275214,636,"*",".",1000,".",506.21413,-1,5.02121,304,"Promoter (<=1kb)",15,40273930,40276384,2455,1,"106821730","ENST00000557808.1",649,"ENSG00000137843","BUB1B-PAK6","BUB1B-PAK6 readthrough"
"chr20",58209703,58210360,658,"*",".",1000,".",505.30892,-1,5.02121,326,"Distal Intergenic",20,58216126,58228653,12528,2,"140731","ENST00000457363.2",18293,"ENSG00000124227","ANKRD60","ankyrin repeat domain 60"
"chr16",57648940,57649498,559,"*",".",1000,".",502.1019,-1,5.02121,288,"Promoter (<=1kb)",16,57650253,57657843,7591,1,"9289","ENST00000678252.1",-755,"ENSG00000205336","ADGRG1","adhesion G protein-coupled receptor G1"
"chr17",81101551,81102341,791,"*",".",1000,".",501.93547,-1,5.02121,336,"Promoter (1-2kb)",17,81104002,81116048,12047,1,"10458","ENST00000572498.1",-1661,"ENSG00000175866","BAIAP2","BAR/IMD domain containing adaptor protein 2"
"chr12",54379511,54380256,746,"*",".",1000,".",501.90658,-1,5.02121,334,"Promoter (<=1kb)",12,54369878,54379189,9312,2,"25946","ENST00000552382.5",-322,"ENSG00000161642","ZNF385A","zinc finger protein 385A"
"chr12",57238925,57239617,693,"*",".",1000,".",497.2126,-1,5.02121,331,"Promoter (1-2kb)",12,57234905,57240692,5788,2,"56901","ENST00000393825.5",1075,"ENSG00000185633","COXFA4L2","cytochrome c oxidase hypoxia associated subunit FA4L2"
"chr11",72433960,72434690,731,"*",".",1000,".",495.30671,-1,5.02121,342,"Promoter (<=1kb)",11,72285495,72434531,149037,2,"81570","ENST00000294053.9",0,"ENSG00000162129","CLPB","ClpB family mitochondrial disaggregase"
"chr4",10018595,10019222,628,"*",".",1000,".",492.77407,-1,5.02121,329,"Promoter (<=1kb)",4,9995669,10019075,23407,2,"56606","ENST00000505506.1",0,"ENSG00000109667","SLC2A9","solute carrier family 2 member 9"
"chr1",150979270,150979986,717,"*",".",1000,".",492.22717,-1,5.02121,381,"Promoter (1-2kb)",1,150977518,150981215,3698,1,"8416","ENST00000808152.1",1752,"ENSG00000143412","ANXA9","annexin A9"
"chr6",72412073,72412653,581,"*",".",1000,".",490.69069,-1,5.02121,290,"Distal Intergenic",6,72366730,72401651,34922,1,"22999","ENST00000414192.2",45343,"ENSG00000079841","RIMS1","regulating synaptic membrane exocytosis 1"
"chr14",21092313,21093077,765,"*",".",1000,".",487.81308,-1,5.02121,337,"Promoter (<=1kb)",14,21092974,21093828,855,2,"51222","ENST00000553296.1",751,"ENSG00000165804","ZNF219","zinc finger protein 219"
"chr16",4253916,4254483,568,"*",".",1000,".",479.27337,-1,5.02121,268,"Promoter (<=1kb)",16,4246006,4253855,7850,2,"100507501","ENST00000701038.2",-61,"ENSG00000262468","LINC01569","long intergenic non-protein coding RNA 1569"
"chr22",36856237,36856853,617,"*",".",1000,".",475.49989,-1,5.02121,282,"Exon (ENST00000805862.1/107985578, exon 2 of 3)",22,36860988,36875832,14845,1,"4689","ENST00000447071.5",-4135,"ENSG00000100365","NCF4","neutrophil cytosolic factor 4"
"chr15",45430053,45430715,663,"*",".",1000,".",474.16593,-1,5.02121,343,"Promoter (<=1kb)",15,45430579,45448761,18183,1,"84419","ENST00000850626.1",0,"ENSG00000166920","COXFA4L3","cytochrome c oxidase associated subunit FA4L3"
"chr14",49861954,49862542,589,"*",".",1000,".",468.82626,-1,5.02121,276,"Promoter (<=1kb)",14,49861176,49862818,1643,2,"105378179","ENST00000837020.1",276,NA,"LOC105378179","uncharacterized LOC105378179"
"chr19",33777883,33778502,620,"*",".",1000,".",468.05941,-1,5.02121,303,"Distal Intergenic",19,33795933,33806958,11026,1,"79047","ENST00000587658.5",-17431,"ENSG00000153885","KCTD15","potassium channel tetramerization domain containing 15"
"chr17",43483507,43484054,548,"*",".",1000,".",465.35181,-1,5.02121,265,"Promoter (<=1kb)",17,43483865,43492292,8428,1,"1659","ENST00000592258.5",0,"ENSG00000067596","DHX8","DEAH-box helicase 8"
"chr6",41368729,41369327,599,"*",".",1000,".",460.75793,-1,5.02121,312,"Exon (ENST00000770141.1/ENST00000770141.1, exon 1 of 5)",6,41381385,41382134,750,2,"100505711","ENST00000827762.1",12807,"ENSG00000307671","LOC100505711","uncharacterized LOC100505711"
"chr8",22574243,22574863,621,"*",".",1000,".",458.55661,-1,5.02121,319,"Promoter (<=1kb)",8,22573337,22574789,1453,1,"10174","ENST00000519127.1",906,"ENSG00000120896","SORBS3","sorbin and SH3 domain containing 3"
"chr3",48435877,48436624,748,"*",".",1000,".",458.04273,-1,5.02121,318,"Promoter (1-2kb)",3,48433707,48438218,4512,2,"79714","ENST00000446140.1",1594,"ENSG00000164051","CCDC51","coiled-coil domain containing 51"
"chr1",155017382,155018062,681,"*",".",1000,".",457.12307,-1,5.02121,319,"Promoter (2-3kb)",1,155014448,155016981,2534,1,"51043","ENST00000292176.2",2934,"ENSG00000160685","ZBTB7B","zinc finger and BTB domain containing 7B"
"chr14",22556852,22557648,797,"*",".",1000,".",454.91258,-1,5.02121,473,"Promoter (<=1kb)",14,22557261,22559803,2543,1,"105370399","ENST00000807851.1",0,NA,"LOC105370399","uncharacterized LOC105370399"
